,STATES,Abbreviation,Series Id,lat,lng
0,Alabama,AL,LASST010000000000003,32.3182314,-86.902298
1,Alaska,AK,LASST020000000000003,64.2008413,-149.4936733
2,Arizona,AZ,LASST040000000000003,34.0489281,-111.0937311
3,Arkansas,AR,LASST050000000000003,35.20105,-91.8318334
4,California,CA,LASST060000000000003,36.778261,-119.4179324
5,Colorado,CO,LASST080000000000003,39.5500507,-105.7820674
6,Connecticut,CT,LASST090000000000003,41.6032207,-73.087749
7,Delaware,DE,LASST100000000000003,38.9108325,-75.52766989999999
8,DistrictofColumbia,DC,LASST110000000000003,38.9071923,-77.0368707
9,Florida,FL,LASST120000000000003,27.6648274,-81.5157535
10,Georgia,GA,LASST130000000000003,32.1656221,-82.9000751
11,Hawaii,HI,LASST150000000000003,19.8967662,-155.5827818
12,Idaho,ID,LASST160000000000003,44.0682019,-114.7420408
13,Illinois,IL,LASST170000000000003,40.6331249,-89.3985283
14,Indiana,IN,LASST180000000000003,40.2671941,-86.1349019
15,Iowa,IA,LASST190000000000003,41.8780025,-93.097702
16,Kansas,KS,LASST200000000000003,39.011902,-98.4842465
17,Kentucky,KY,LASST210000000000003,37.8393332,-84.2700179
18,Louisiana,LA,LASST220000000000003,30.9842977,-91.96233269999999
19,Maine,ME,LASST230000000000003,45.253783,-69.4454689
20,Maryland,MD,LASST240000000000003,39.0457549,-76.64127119999999
21,Massachusetts,MA,LASST250000000000003,42.4072107,-71.3824374
22,Michigan,MI,LASST260000000000003,44.3148443,-85.60236429999999
23,Minnesota,MN,LASST270000000000003,46.729553,-94.6858998
24,Mississippi,MS,LASST280000000000003,32.3546679,-89.3985283
25,Missouri,MO,LASST290000000000003,37.9642529,-91.8318334
26,Montana,MT,LASST300000000000003,46.8796822,-110.3625658
27,Nebraska,NE,LASST310000000000003,41.4925374,-99.9018131
28,Nevada,NV,LASST320000000000003,38.8026097,-116.419389
29,NewHampshire,NH,LASST330000000000003,43.1938516,-71.5723953
30,NewJersey,NJ,LASST340000000000003,40.0583238,-74.4056612
31,NewMexico,NM,LASST350000000000003,34.5199402,-105.8700901
32,NewYork,NY,LASST360000000000003,40.7127753,-74.0059728
33,NorthCarolina,NC,LASST370000000000003,35.7595731,-79.01929969999999
34,NorthDakota,ND,LASST380000000000003,47.5514926,-101.0020119
35,Ohio,OH,LASST390000000000003,40.4172871,-82.90712300000001
36,Oklahoma,OK,LASST400000000000003,35.4675602,-97.5164276
37,Oregon,OR,LASST410000000000003,43.8041334,-120.5542012
38,Pennsylvania,PA,LASST420000000000003,41.2033216,-77.1945247
39,PuertoRico,PR,LASST720000000000003,18.220833,-66.590149
40,RhodeIsland,RI,LASST440000000000003,41.5800945,-71.4774291
41,SouthCarolina,SC,LASST450000000000003,33.836081,-81.1637245
42,SouthDakota,SD,LASST460000000000003,43.9695148,-99.9018131
43,Tennessee,TN,LASST470000000000003,35.5174913,-86.5804473
44,Texas,TX,LASST480000000000003,31.9685988,-99.9018131
45,Utah,UT,LASST490000000000003,39.3209801,-111.0937311
46,Vermont,VT,LASST500000000000003,44.5588028,-72.57784149999999
47,Virginia,VA,LASST510000000000003,37.4315734,-78.6568942
48,Washington,WA,LASST530000000000003,47.7510741,-120.7401385
49,WestVirginia,WV,LASST540000000000003,38.5976262,-80.4549026
