year,Year Change
2016,-0.20000000000000018
2015,-0.7000000000000002
2014,-1.0
2013,-1.2999999999999998
2012,-0.40000000000000036
2011,-0.5999999999999996
2010,-0.5
2009,2.1000000000000005
2008,2.3
2007,0.40000000000000036
2006,-0.2999999999999998
2005,-0.39999999999999947
2004,-0.2999999999999998
2003,-0.09999999999999964
2002,0.2999999999999998
2001,1.5
2000,-0.10000000000000009
1999,-0.2999999999999998
1998,-0.1999999999999993
1997,-0.5999999999999996
1996,-0.1999999999999993
1995,0.0
1994,-1.0999999999999996
1993,-0.7999999999999998
1992,0.10000000000000053
1991,0.8999999999999995
1990,0.8999999999999995
1989,0.0
1988,-0.40000000000000036
1987,-0.8999999999999995
1986,-0.10000000000000053
